RunScript;Config;RunId;Output;Close Public Transit;Close Workplaces;End Social Activities;End All Other Activities
snz142.sh;config_snz142.xml;snz142;output/20-1000-30-10;20;1000;30;10
snz143.sh;config_snz143.xml;snz143;output/20-1000-30-20;20;1000;30;20
snz144.sh;config_snz144.xml;snz144;output/20-1000-30-30;20;1000;30;30
snz145.sh;config_snz145.xml;snz145;output/20-10-1000-1000;20;10;1000;1000
snz146.sh;config_snz146.xml;snz146;output/20-10-1000-10;20;10;1000;10
snz147.sh;config_snz147.xml;snz147;output/20-10-1000-20;20;10;1000;20
snz148.sh;config_snz148.xml;snz148;output/20-10-1000-30;20;10;1000;30
snz149.sh;config_snz149.xml;snz149;output/20-10-10-1000;20;10;10;1000
snz150.sh;config_snz150.xml;snz150;output/20-10-10-10;20;10;10;10
snz151.sh;config_snz151.xml;snz151;output/20-10-10-20;20;10;10;20
snz152.sh;config_snz152.xml;snz152;output/20-10-10-30;20;10;10;30
snz153.sh;config_snz153.xml;snz153;output/20-10-20-1000;20;10;20;1000
snz154.sh;config_snz154.xml;snz154;output/20-10-20-10;20;10;20;10
snz155.sh;config_snz155.xml;snz155;output/20-10-20-20;20;10;20;20
snz156.sh;config_snz156.xml;snz156;output/20-10-20-30;20;10;20;30
snz157.sh;config_snz157.xml;snz157;output/20-10-30-1000;20;10;30;1000
snz158.sh;config_snz158.xml;snz158;output/20-10-30-10;20;10;30;10
snz159.sh;config_snz159.xml;snz159;output/20-10-30-20;20;10;30;20
snz160.sh;config_snz160.xml;snz160;output/20-10-30-30;20;10;30;30
snz161.sh;config_snz161.xml;snz161;output/20-20-1000-1000;20;20;1000;1000
snz162.sh;config_snz162.xml;snz162;output/20-20-1000-10;20;20;1000;10
snz163.sh;config_snz163.xml;snz163;output/20-20-1000-20;20;20;1000;20
snz164.sh;config_snz164.xml;snz164;output/20-20-1000-30;20;20;1000;30
snz165.sh;config_snz165.xml;snz165;output/20-20-10-1000;20;20;10;1000
snz166.sh;config_snz166.xml;snz166;output/20-20-10-10;20;20;10;10
snz167.sh;config_snz167.xml;snz167;output/20-20-10-20;20;20;10;20
snz168.sh;config_snz168.xml;snz168;output/20-20-10-30;20;20;10;30
snz169.sh;config_snz169.xml;snz169;output/20-20-20-1000;20;20;20;1000
snz170.sh;config_snz170.xml;snz170;output/20-20-20-10;20;20;20;10
snz171.sh;config_snz171.xml;snz171;output/20-20-20-20;20;20;20;20
snz172.sh;config_snz172.xml;snz172;output/20-20-20-30;20;20;20;30
snz173.sh;config_snz173.xml;snz173;output/20-20-30-1000;20;20;30;1000
snz174.sh;config_snz174.xml;snz174;output/20-20-30-10;20;20;30;10
snz175.sh;config_snz175.xml;snz175;output/20-20-30-20;20;20;30;20
snz176.sh;config_snz176.xml;snz176;output/20-20-30-30;20;20;30;30
snz177.sh;config_snz177.xml;snz177;output/20-30-1000-1000;20;30;1000;1000
snz178.sh;config_snz178.xml;snz178;output/20-30-1000-10;20;30;1000;10
snz179.sh;config_snz179.xml;snz179;output/20-30-1000-20;20;30;1000;20
snz180.sh;config_snz180.xml;snz180;output/20-30-1000-30;20;30;1000;30
snz181.sh;config_snz181.xml;snz181;output/20-30-10-1000;20;30;10;1000
snz182.sh;config_snz182.xml;snz182;output/20-30-10-10;20;30;10;10
snz183.sh;config_snz183.xml;snz183;output/20-30-10-20;20;30;10;20
snz184.sh;config_snz184.xml;snz184;output/20-30-10-30;20;30;10;30
snz185.sh;config_snz185.xml;snz185;output/20-30-20-1000;20;30;20;1000
snz186.sh;config_snz186.xml;snz186;output/20-30-20-10;20;30;20;10
snz187.sh;config_snz187.xml;snz187;output/20-30-20-20;20;30;20;20
snz188.sh;config_snz188.xml;snz188;output/20-30-20-30;20;30;20;30
snz189.sh;config_snz189.xml;snz189;output/20-30-30-1000;20;30;30;1000
snz190.sh;config_snz190.xml;snz190;output/20-30-30-10;20;30;30;10
snz191.sh;config_snz191.xml;snz191;output/20-30-30-20;20;30;30;20
snz192.sh;config_snz192.xml;snz192;output/20-30-30-30;20;30;30;30
snz193.sh;config_snz193.xml;snz193;output/30-1000-1000-1000;30;1000;1000;1000
snz194.sh;config_snz194.xml;snz194;output/30-1000-1000-10;30;1000;1000;10
snz195.sh;config_snz195.xml;snz195;output/30-1000-1000-20;30;1000;1000;20
snz196.sh;config_snz196.xml;snz196;output/30-1000-1000-30;30;1000;1000;30
snz197.sh;config_snz197.xml;snz197;output/30-1000-10-1000;30;1000;10;1000
snz198.sh;config_snz198.xml;snz198;output/30-1000-10-10;30;1000;10;10
snz199.sh;config_snz199.xml;snz199;output/30-1000-10-20;30;1000;10;20
snz200.sh;config_snz200.xml;snz200;output/30-1000-10-30;30;1000;10;30
snz201.sh;config_snz201.xml;snz201;output/30-1000-20-1000;30;1000;20;1000
snz202.sh;config_snz202.xml;snz202;output/30-1000-20-10;30;1000;20;10
snz203.sh;config_snz203.xml;snz203;output/30-1000-20-20;30;1000;20;20
snz204.sh;config_snz204.xml;snz204;output/30-1000-20-30;30;1000;20;30
snz205.sh;config_snz205.xml;snz205;output/30-1000-30-1000;30;1000;30;1000
snz206.sh;config_snz206.xml;snz206;output/30-1000-30-10;30;1000;30;10
snz207.sh;config_snz207.xml;snz207;output/30-1000-30-20;30;1000;30;20
snz208.sh;config_snz208.xml;snz208;output/30-1000-30-30;30;1000;30;30
snz209.sh;config_snz209.xml;snz209;output/30-10-1000-1000;30;10;1000;1000
snz210.sh;config_snz210.xml;snz210;output/30-10-1000-10;30;10;1000;10
snz211.sh;config_snz211.xml;snz211;output/30-10-1000-20;30;10;1000;20
snz212.sh;config_snz212.xml;snz212;output/30-10-1000-30;30;10;1000;30
snz213.sh;config_snz213.xml;snz213;output/30-10-10-1000;30;10;10;1000
snz214.sh;config_snz214.xml;snz214;output/30-10-10-10;30;10;10;10
snz215.sh;config_snz215.xml;snz215;output/30-10-10-20;30;10;10;20
