scenario,t,y
Distant future,1970-01-01 03:00:00,0.9994407237817349
Distant future,1970-01-01 03:15:00,0.999354987090212
Distant future,1970-01-01 03:30:00,0.9987954616169668
Distant future,1970-01-01 03:45:00,0.9987970968187198
Distant future,1970-01-01 04:00:00,0.9988954226398727
Distant future,1970-01-01 04:15:00,0.9980672972759213
Distant future,1970-01-01 04:30:00,0.997193155961864
Distant future,1970-01-01 04:45:00,0.9957623473231254
Distant future,1970-01-01 05:00:00,0.9934644659376675
Distant future,1970-01-01 05:15:00,0.9839923876723734
Distant future,1970-01-01 05:30:00,0.965141530989481
Distant future,1970-01-01 05:45:00,0.944530628692052
Distant future,1970-01-01 06:00:00,0.9431365261558879
Distant future,1970-01-01 06:15:00,0.9492780562698707
Distant future,1970-01-01 06:30:00,0.950017840560002
Distant future,1970-01-01 06:45:00,0.9501599155437961
Distant future,1970-01-01 07:00:00,0.9499543009335011
Distant future,1970-01-01 07:15:00,0.9501898652704822
Distant future,1970-01-01 07:30:00,0.9457942338256282
Distant future,1970-01-01 07:45:00,0.9429438283044272
Distant future,1970-01-01 08:00:00,0.9452274885766736
Distant future,1970-01-01 08:15:00,0.9440034437499493
Distant future,1970-01-01 08:30:00,0.9421115468911129
Distant future,1970-01-01 08:45:00,0.9389269672417341
Distant future,1970-01-01 09:00:00,0.9392531772910521
Distant future,1970-01-01 09:15:00,0.9408216827847593
Distant future,1970-01-01 09:30:00,0.9426412453976611
Distant future,1970-01-01 09:45:00,0.9455965349816364
Distant future,1970-01-01 10:00:00,0.9472630847937544
Distant future,1970-01-01 10:15:00,0.947393975220328
Distant future,1970-01-01 10:30:00,0.9475136097218172
Distant future,1970-01-01 10:45:00,0.9446135547778226
Distant future,1970-01-01 11:00:00,0.947792356686647
Distant future,1970-01-01 11:15:00,0.9474432215594158
Distant future,1970-01-01 11:30:00,0.94684283813486
Distant future,1970-01-01 11:45:00,0.9438947235122208
Distant future,1970-01-01 12:00:00,0.9416794298635518
Distant future,1970-01-01 12:15:00,0.9415523598182847
Distant future,1970-01-01 12:30:00,0.939756939436551
Distant future,1970-01-01 12:45:00,0.9391050963906661
Distant future,1970-01-01 13:00:00,0.9383501862510186
Distant future,1970-01-01 13:15:00,0.9406235724002979
Distant future,1970-01-01 13:30:00,0.9358204274928988
Distant future,1970-01-01 13:45:00,0.9361080476291479
Distant future,1970-01-01 14:00:00,0.9364972556241473
Distant future,1970-01-01 14:15:00,0.9351626725468728
Distant future,1970-01-01 14:30:00,0.9328421211875563
Distant future,1970-01-01 14:45:00,0.9301789407885581
Distant future,1970-01-01 15:00:00,0.9332959354961576
Distant future,1970-01-01 15:15:00,0.9293042588428608
Distant future,1970-01-01 15:30:00,0.9308621672749892
Distant future,1970-01-01 15:45:00,0.9292278085677664
Distant future,1970-01-01 16:00:00,0.93023057079617
Distant future,1970-01-01 16:15:00,0.9267134580566077
Distant future,1970-01-01 16:30:00,0.9297310521940224
Distant future,1970-01-01 16:45:00,0.9316430190591003
Distant future,1970-01-01 17:00:00,0.9312769128376284
Distant future,1970-01-01 17:15:00,0.9327362399724964
Distant future,1970-01-01 17:30:00,0.9348390752638019
Distant future,1970-01-01 17:45:00,0.9336061160290261
Distant future,1970-01-01 18:00:00,0.934323934528064
Distant future,1970-01-01 18:15:00,0.9378602123131008
Distant future,1970-01-01 18:30:00,0.9397768064212181
Distant future,1970-01-01 18:45:00,0.9404719386890803
Distant future,1970-01-01 19:00:00,0.9397530687631085
