id,x,y,infectedButNotContagious,contagious,showingSymptoms,seriouslySick,critical,recovered
379994201,4603558,5819138,25,29,31,0,0,41
365976101,4586684,5818843,21,25,0,0,0,37
3650401,4617302,5873326,0,0,0,0,0,0
361677701,4598416,5816643,17,21,23,0,0,33
347911701,4600207,5815905,29,33,0,0,0,45
297586301,4597711,5821772,21,25,27,0,0,37
287621401,4584023,5815709,0,0,0,0,0,0
266064601,4600363,5810538,33,37,39,43,0,56
255219801,4579576,5822226,17,21,0,0,0,33
236973801,4596355,5815330,21,25,27,0,0,37
221672901,4588523,5832183,0,0,0,0,0,0
173060901,4599953,5821595,17,21,23,0,0,33
163406601,4540408,5807581,33,37,0,0,0,49
154786201,4633032,5816090,17,21,23,0,0,33
150417401,4589053,5838763,21,25,27,0,0,37
165294701,4630961,5799531,21,25,27,0,0,37
119708601,4520515,5856167,0,0,0,0,0,0
3222001,4526642,5882621,0,0,0,0,0,0
136147001,4658493,5734785,33,37,39,0,0,49
82048501,4568847,5815685,26,30,32,0,0,42
409063701,4588198,5812449,0,0,0,0,0,0
348804001,4590606,5820375,21,25,27,0,0,37
211243701,4610368,5824387,21,25,27,31,0,44
2043001,4571022,5796695,0,0,0,0,0,0
10540701,4608687,5805023,25,29,31,0,0,41
58789001,4618299,5857657,0,0,0,0,0,0
416006701,4596949,5825081,17,21,23,0,0,33
357040701,4600140,5825094,21,25,27,0,0,37
268086701,4604931,5825682,18,22,24,0,0,34
189660101,4596852,5819728,25,29,0,0,0,41
478792701,4653691,5784187,29,33,35,0,0,45
429087501,4596348,5812595,21,25,27,0,0,37
273021101,4588956,5812994,21,25,27,0,0,37
214047401,4602347,5812625,17,21,23,0,0,33
72201,4522603,5809783,33,37,39,0,0,49
320715401,4589948,5817756,25,29,31,0,0,41
348308801,4596509,5809302,0,0,0,0,0,0
344956001,4591568,5832184,25,29,31,0,0,41
144508101,4581111,5847114,29,33,35,0,0,45
36044201,4589659,5798871,33,37,39,0,0,49
244843301,4609052,5824129,21,25,27,0,0,37
204367101,4597209,5825572,17,21,0,0,0,33
